Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-10-27,Sep 2016,N/A,$7.25,N/A,N/A
2016-07-28,Jun 2016,N/A,$7.00,N/A,N/A
2016-04-21,Mar 2016,N/A,$6.02,N/A,N/A
2016-02-01,Dec 2015,N/A,$7.06,N/A,N/A
2015-10-22,Sep 2015,N/A,$5.73,N/A,N/A
2015-07-16,Jun 2015,N/A,$4.93,N/A,N/A
2015-04-23,Mar 2015,N/A,$5.20,N/A,N/A
2015-01-29,Dec 2014,N/A,$5.50,N/A,N/A
2014-10-16,Sep 2014,N/A,$4.90,N/A,N/A
2014-07-17,Jun 2014,N/A,$5.09,N/A,N/A
2014-04-16,Mar 2014,N/A,$5.33,N/A,N/A
2014-01-30,Dec 2013,$10.34,N/A,N/A,N/A
2013-10-17,Sep 2013,$8.42,N/A,N/A,N/A
2013-07-18,Jun 2013,$9.04,N/A,N/A,N/A
2013-04-18,Mar 2013,$8.83,N/A,N/A,N/A
2013-01-22,Dec 2012,$8.61,N/A,N/A,N/A
2012-10-18,Sep 2012,$8.88,N/A,N/A,N/A
2012-07-19,Jun 2012,$8.75,N/A,N/A,N/A
2012-04-12,Mar 2012,$8.24,N/A,N/A,N/A
2012-01-19,Dec 2011,$9.06,N/A,N/A,N/A
2011-10-13,Sep 2011,$7.60,N/A,N/A,N/A
2011-07-14,Jun 2011,$6.79,N/A,N/A,N/A
2011-04-14,Mar 2011,$7.14,N/A,N/A,N/A
2011-01-20,Dec 2010,$7.17,N/A,N/A,N/A
2010-10-14,Sep 2010,$5.92,N/A,N/A,N/A
2010-07-15,Jun 2010,$5.78,N/A,N/A,N/A
2010-04-15,Mar 2010,$5.82,N/A,N/A,N/A
2010-01-21,Dec 2009,$5.69,N/A,N/A,N/A
2009-10-15,Sep 2009,$4.69,N/A,N/A,N/A
2009-07-16,Jun 2009,$4.35,N/A,N/A,N/A
